Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Good one,-,Syed hamza,-,5,2020-07-12T13:59:17,Good deal
Not super.. just average,-,Teja,-,5,2020-07-12T17:12:17,I expected it to be more girly but it is more like a men s watch except the dail colour.. u can buy if you need a simple decent watch without any expectations..
Nice,-,Amazon Customer,-,5,2020-03-19T13:59:17,Very good looking watch
Gift Special,-,Falcon Dan,-,5,2020-05-17T17:59:17,The perfect gift.
Good product,-,Bobby,-,5,2020-02-10T17:59:17,Good product
Satisfied with this product,-,Nilanjana Gupta,-,5,2020-02-22T16:59:17,It s really a nice looking watch and what it seems in the picture is exactly same as the actual product. The dial size is too very much suitable for girls . Loved it very much..
Good,-,Amazon customer,-,5,2020-03-19T13:59:17,I actually liked the product.. but when i took it to a shop for adjusting the length.. the guy told me its fake.. and not branded.. how will i know whether its fake or branded.???..
Fabulous watch from fastrack ...at this price point.,-,Sanjib,-,5,2020-05-15T12:59:17,I have purchase this for my wife and she is very happy to get this product. I have purchase this watch during sale therefore it costed Rs 1275 and at this price range this one of the best watches from fastrack.
Value for money,-,Harika,-,5,2020-09-29T17:59:17,The product was good but the packaging was worse.The lid was not fixed to the box and when I received the package the box was crumbled and the watch came out of the box. Only the packaging was not good.
Awesome Product,-,DJ,-,5,2020-02-22T16:59:17,Purchased this product for gifting and the person liked it a lot. Product is very nice.
Package have to improve. Disappointed bcoz of the damaged box.,One person found this helpful,Sowmiya Murugesan,-,5,2020-07-02T17:54:17,Box of the product was damaged and color was very lite. Chain of the watch was not comfortable.
Superb,-,Naziya,-,5,2020-08-13T14:59:17,Superb watch but not looking so good on me
Size if belt to be designed as can be changed as required,-,Umesh betageri,-,5,2020-08-13T14:59:17,The problem size is not suitable to my sister hand.again we removed some steels in belt.It was tough to repair person to make it .so please product to be made in such away that it shod match every one hand.
Nice product,2 people found this helpful,Amazon Customer,-,5,2020-07-12T17:12:17,Nice product... N also delivered in ryt tym... Bt it is 5 rating product if the guarantee card is filled n then delivered...
Original Fast track watch,-,Rupesh Baby,-,5,2020-05-17T17:59:17,Good looking watch with nice dial colour. Dial is medium size .Overall a working women s watch.
Good looking for girl.,-,abilash shrestha,-,5,2020-05-22T11:59:17,Small and good looking in girl hand.
great waterproof product,-,anand,-,5,2020-08-22T17:59:17,bought for mother suits perfectly irrespective of age. best product in this Price range.
Nice design perfect for gift.,-,Ali,-,5,2020-04-17T17:59:17,Good looking and a descent design.
For size adjusting you need to visit store,-,tejasree,-,5,2020-08-06T12:59:17,Quality is good  but weight is heavy chain is not size adjustable
Grab it soon..,-,Amazon Customer,-,5,2020-01-23T12:59:17,Nice.. As shown in the picture.. Classy and stylish
Great Product,-,swathi kanduri,-,5,2020-04-23T14:12:17,Looks classy and elegant. Value for the price. Can definitely go for it either for self or for gifting.
Fastrack watch for women,-,oswald rebello,-,5,2020-02-10T17:59:17,Good watch. I purchased it for my daughter. She liked it. Good for daily wear.Value for money.
Good watch,-,Aditya Rana,-,5,2020-09-25T15:59:17,It s a good product. The dail is little small but still it looks good.
Wow product,-,Piyali,-,5,2020-08-24T11:59:17,Value for money. Very elegant. It could have much better if the dial size a bit larger.
Nice,2 people found this helpful,Sankaranarayanan Manickam,-,5,2020-06-26T14:59:17,The product is nice and comes with nice packaging
Nice look,-,Ashwin KS,-,5,2020-08-24T11:59:17,Quality was good. Value for money ..Looking good..... Referring others to buy...delivered in time
Big dial and length strap. Pink color is very nice.,One person found this helpful,jansi,-,5,2020-03-19T13:59:17,Dial is too big for my wrist and the strap is too long so it s very loose. Need to cut the strap and alter it.
Very attractive and beautiful gift for your loved persons and relatives Perfect colour,One person found this helpful,Amazon Customer,-,5,2020-07-16T12:59:17,Very attractive and beautiful gift for your loved persons and relativesPerfect colour   good working   so far no issuesDelivery was excellent on time .Thanks amazon for such a great product with decent price .
Good looking watch,3 people found this helpful,KK,-,5,2020-07-02T17:54:17,Good looking watch  slightly pricey for the brand but looks neat and is of decent quality.A good gift option.
Its very light weight and looking very beautiful,One person found this helpful,Deepak,-,5,2020-04-15T17:59:17,Product is very nice looking very beautiful and comfortable and lightweight according to money it s best choice from women watch
